1,user_1,user_1@mail.com,F,31,50000,Seattle,WA,USA
2,user_2,user_2@mail.com,M,31,10000,Boston,MA,USA
3,user_3,user_3@mail.com,F,31,20000,Raleigh,NC,USA
4,user_4,user_4@mail.com,M,31,30000,Chicago,IL,USA
5,user_5,user_5@mail.com,F,31,40000,Austin,TX,USA
6,user_6,user_6@mail.com,M,31,50000,San Francisco,CA,USA
7,user_7,user_7@mail.com,F,31,60000,Portland,OR,USA
8,user_8,user_8@mail.com,M,31,70000,Las Vegas,NV,USA
9,user_9,user_9@mail.com,F,31,80000,San Diego,CA,USA
10,user_10,user_10@mail.com,M,31,90000,Phoenix,AZ,USA
11,user_11,user_11@mail.com,F,31,10000,Minneapolis,MN,USA
12,user_12,user_12@mail.com,M,31,20000,Omaha,NE,USA
13,user_13,user_13@mail.com,F,31,30000,Louisville,KY,USA
14,user_14,user_14@mail.com,M,31,40000,Atlanta,GA,USA
15,user_15,user_15@mail.com,F,31,50000,Washington,DC,USA
16,user_16,user_16@mail.com,M,31,60000,New York,NY,USA
